aX,aY,aZ
0.792,-0.244,0.79
0.831,-0.28,0.791
0.841,-0.342,0.781
0.88,-0.345,0.816
0.913,-0.375,0.834
0.926,-0.426,0.845
0.962,-0.445,0.854
0.999,-0.492,0.883
1.014,-0.542,0.905
1.042,-0.565,0.923
1.058,-0.601,0.934
1.06,-0.639,0.952
1.059,-0.659,0.958
1.054,-0.698,0.973
1.052,-0.734,0.977
1.037,-0.749,0.975
1.028,-0.772,0.972
1.017,-0.79,0.957
0.994,-0.82,0.923
0.977,-0.852,0.888
0.965,-0.994,0.86
0.951,-0.895,0.854
0.92,-0.926,0.813
0.9,-0.952,0.792
0.897,-0.95,0.795
0.877,-0.972,0.777
0.865,-0.986,0.755
0.847,-0.987,0.742
0.811,-0.982,0.74
0.786,-0.929,0.735
0.737,-0.908,0.732
0.719,-0.859,0.752
0.714,-0.843,0.772
0.707,-0.821,0.777
0.701,-0.796,0.794
0.7,-0.783,0.823
0.692,-0.768,0.841
0.677,-0.764,0.882
0.668,-0.766,0.899
0.628,-0.759,0.911
0.57,-0.738,0.915
0.534,-0.69,0.904
0.443,-0.667,0.889
0.342,-0.626,0.844
0.282,-0.557,0.794
0.151,-0.536,0.75
0.076,-0.464,0.67
0.033,-0.411,0.617
-0.074,-0.382,0.581
-0.182,-0.3,0.575
-0.291,-0.195,0.568
-0.35,-0.08,0.548
-0.464,-0.017,0.523
-0.574,0.106,0.509
-0.676,0.242,0.482
-0.722,0.306,0.458
-0.805,0.416,0.447
-0.839,0.573,0.445
-0.897,0.643,0.449
-0.942,0.809,0.47
-0.961,0.933,0.503
-0.996,0.982,0.541
-1.06,1.081,0.57
-1.101,1.243,0.644
-1.159,1.331,0.698
-1.204,1.444,0.778
-1.223,1.496,0.833
-1.25,1.521,0.909
-1.236,1.586,0.967
-1.208,1.638,1.103
-1.097,1.638,1.22
-0.939,1.611,1.267
-0.72,1.587,1.347
-0.628,1.571,1.414
-0.366,1.551,1.431
-0.077,1.503,1.407
0.06,1.48,1.288
0.325,1.455,1.179
0.577,1.506,1.095
0.655,1.495,0.954
0.881,1.538,0.934
0.943,1.581,0.858
0.977,1.586,0.774
0.988,1.591,0.767
0.945,1.575,0.79
0.861,1.591,0.892
0.732,1.636,0.926
0.62,1.538,1.087
0.523,1.542,1.264
0.28,1.411,1.284
0.173,1.26,1.38
0.036,1.172,1.482
-0.078,1.248,1.57
-0.194,1.135,1.48
-0.424,1.121,1.599
-0.492,1.173,1.625
-0.643,1.073,1.475
-0.834,1.02,1.417
-0.899,0.977,1.358
-0.943,0.967,1.317
-1.046,0.946,1.139
-1.119,0.881,1.128
-1.105,0.829,1.03
-1.08,0.819,0.985
-1.042,0.781,0.897
-1.014,0.768,0.791
-0.929,0.72,0.758
-0.834,0.663,0.716
-0.796,0.622,0.653
-0.68,0.556,0.638
-0.526,0.501,0.629
-0.442,0.447,0.63
-0.259,0.418,0.634
-0.044,0.331,0.646
0.057,0.272,0.638
0.244,0.202,0.627
0.338,0.132,0.591
0.375,0.112,0.591
0.426,0.063,0.599
