aX,aY,aZ
0.117,-0.304,-0.382
0.104,-0.382,-0.312
0.099,-0.547,-0.265
0.115,-0.673,-0.181
0.124,-0.847,-0.122
0.127,-0.829,-0.043
0.097,-0.977,0.007
0.079,-1.059,0.121
0.057,-1.236,0.177
0.054,-1.42,0.275
0.044,-1.518,0.38
0.02,-1.707,0.44
0.001,-1.911,0.556
-0.012,-2.107,0.696
-0.026,-2.273,0.724
-0.012,-2.389,0.747
0.001,-2.486,0.749
0.04,-2.512,0.735
0.082,-2.499,0.726
0.081,-2.482,0.689
0.171,-2.417,0.665
0.252,-2.315,0.619
0.288,-2.257,0.584
0.35,-2.098,0.55
0.496,-1.887,0.454
0.41,-1.66,0.344
0.467,-1.553,0.243
0.507,-1.351,0.192
0.517,-1.147,0.096
0.526,-1.053,0.007
0.514,-0.875,-0.044
0.511,-0.709,-0.164
0.505,-0.638,-0.271
0.477,-0.517,-0.321
0.435,-0.443,-0.413
0.409,-0.414,-0.482
0.363,-0.383,-0.509
0.326,-0.38,-0.551
0.308,-0.39,-0.591
0.279,-0.433,-0.605
0.259,-0.493,-0.61
0.25,-0.562,-0.605
0.234,-0.609,-0.58
0.22,-0.707,-0.568
0.216,-0.795,-0.539
0.222,-0.837,-0.503
0.223,-0.916,-0.478
0.224,-0.985,-0.435
0.225,-1.014,-0.399
0.225,-1.052,-0.258
0.227,-1.076,-0.351
0.228,-1.094,-0.311
0.239,-1.097,-0.296
0.221,-1.071,-0.262
0.191,-1.057,-0.241
0.2,-1.022,-0.239
0.218,-1.011,-0.246
0.226,-0.983,-0.245
0.224,-0.949,-0.242
0.215,-0.936,-0.247
0.227,-0.908,-0.258
0.229,-0.867,-0.273
0.249,-0.865,-0.289
0.249,-0.813,-0.296
0.238,-0.749,-0.322
0.234,-0.73,-0.34
0.243,-0.69,-0.34
0.242,-0.651,-0.337
0.248,-0.622,-0.342
0.266,-0.612,-0.346
0.273,-0.589,-0.344
0.283,-0.585,-0.347
0.294,-0.584,-0.354
0.301,-0.577,-0.338
0.311,-0.566,-0.329
0.315,-0.544,-0.319
0.321,-0.526,-0.329
0.313,-0.467,-0.333
0.302,-0.392,-0.329
0.296,-0.305,-0.325
0.276,-0.259,-0.317
0.253,-0.179,-0.316
0.242,-0.11,-0.333
0.223,-0.082,-0.354
0.213,-0.036,-0.361
0.218,-0.009,-0.365
0.223,0,-0.365
0.232,0.001,-0.378
0.244,0.019,-0.388
0.253,0.041,-0.383
0.289,0.052,-0.338
0.333,0.073,-0.317
0.378,0.098,-0.312
0.4,0.113,-0.321
0.442,0.143,-0.31
0.465,0.209,-0.305
0.464,0.341,-0.325
0.451,0.412,-0.317
0.426,0.555,-0.29
0.408,0.689,-0.303
0.357,0.75,-0.321
0.327,0.85,-0.361
0.26,0.935,-0.389
0.206,0.971,-0.408
0.177,1.031,-0.414
0.171,1.086,-0.421
0.163,1.103,-0.44
0.161,1.116,-0.442
0.194,1.14,-0.436
0.222,1.179,-0.44
0.273,1.2,-0.469
0.292,1.23,-0.485
0.293,1.244,-0.486
0.295,1.256,-0.48
0.302,1.323,-0.484
0.302,1.422,-0.501
0.284,1.463,-0.511
0.268,1.525,-0.509
0.251,1.538,-0.512
0.211,1.541,-0.526
0.176,1.517,-0.539
0.165,1.444,-0.555
0.144,1.396,-0.552
0.139,1.293,-0.542
0.142,1.213,-0.52
0.166,1.183,-0.503
0.21,1.119,-0.497
0.229,1.06,-0.469
0.261,1.038,-0.419
0.303,1.029,-0.401
0.325,1.078,-0.401
0.365,1.115,-0.439
0.39,1.234,-0.429
0.41,1.267,-0.401
0.419,1.32,-0.395
0.42,1.343,-0.408
0.428,1.385,-0.42
0.434,1.416,-0.444
0.437,1.419,-0.463
0.436,1.404,-0.474
0.439,1.366,-0.486
0.448,1.345,-0.48
0.481,1.292,-0.466
0.498,1.233,-0.442
0.52,1.204,-0.431
0.551,1.143,-0.416
0.567,1.096,-0.377
0.592,1.078,-0.342
0.614,1.068,-0.332
0.626,1.077,-0.326
0.646,1.113,-0.325
0.66,1.176,-0.35
0.667,1.205,-0.378
0.678,1.25,-0.389
0.665,1.293,-0.41
0.654,1.334,-0.44
0.63,1.348,-0.468
0.597,1.366,-0.481
0.561,1.369,-0.505
0.549,1.368,-0.517
0.532,1.369,-0.531
0.526,1.375,-0.523
0.539,1.388,-0.555
0.475,1.403,-0.558
0.487,1.408,-0.561
0.493,1.42,-0.562
0.51,1.424,-0.542
0.515,1.435,-0.539
0.511,1.459,-0.555
0.526,1.47,-0.564
0.51,1.486,-0.569
0.514,1.498,-0.564
0.523,1.498,-0.565
0.522,1.486,-0.575
0.517,1.469,-0.579
0.52,1.455,-0.604
0.528,1.443,-0.588
0.531,1.423,-0.6
0.542,1.411,-0.604
0.526,1.41,-0.594
0.527,1.419,-0.591
0.529,1.425,-0.586
0.509,1.44,-0.589
0.492,1.461,-0.587
0.46,1.471,-0.592
0.439,1.483,-0.592
0.435,1.482,-0.59
0.428,1.478,-0.602
0.381,1.481,-0.64
0.361,1.476,-0.641
0.372,1.462,-0.641
0.391,1.472,-0.645
0.392,1.479,-0.643
0.403,1.482,-0.632
0.429,1.471,-0.621
0.434,1.461,-0.639
0.436,1.442,-0.644
0.437,1.426,-0.644
0.43,1.414,-0.632
0.418,1.403,-0.646
0.413,1.364,-0.661
0.407,1.352,-0.657
0.368,1.344,-0.659
0.347,1.342,-0.675
0.315,1.34,-0.668
0.323,1.32,-0.661
0.324,1.324,-0.655
0.337,1.331,-0.65
0.364,1.322,-0.649
0.373,1.299,-0.658
0.402,1.28,-0.674
0.419,1.252,-0.669
0.424,1.255,-0.657
0.434,1.279,-0.654
0.436,1.288,-0.652
0.432,1.291,-0.64
0.425,1.293,-0.634
0.407,1.283,-0.624
0.396,1.259,-0.635
0.356,1.241,-0.645
0.337,1.194,-0.666
0.298,1.163,-0.68
0.265,1.108,-0.686
0.255,1.071,-0.687
0.247,1.061,-0.692
0.248,1.043,-0.691
0.244,1.011,-0.683
0.232,0.983,-0.668
0.231,0.921,-0.658
0.235,0.854,-0.651
0.244,0.82,-0.654
0.268,0.762,-0.665
0.281,0.72,-0.665
0.291,0.701,-0.645
0.287,0.651,-0.638
0.281,0.597,-0.628
0.263,0.568,-0.609
0.25,0.505,-0.6
0.244,0.433,-0.59
0.236,0.394,-0.589
0.23,0.327,-0.585
0.225,0.267,-0.568
0.215,0.245,-0.542
0.211,0.21,-0.528
0.21,0.199,-0.502
0.207,0.196,-0.483
0.2,0.179,-0.427
0.198,0.14,-0.39
0.202,0.117,-0.255
0.224,0.082,-0.367
0.239,0.058,-0.367
-0.037,-1.83,0.283
-0.058,-1.893,0.344
-0.068,-2.009,0.37
-0.07,-2.092,0.407
-0.063,-2.143,0.436
-0.034,-2.158,0.446
0.018,-2.171,0.451
0.045,-2.154,0.423
0.101,-2.126,0.406
0.167,-2.041,0.386
0.201,-1.93,0.378
0.264,-1.861,0.339
0.335,-1.72,0.304
0.369,-1.569,0.235
0.426,-1.497,0.167
0.468,-1.348,0.128
0.488,-1.204,0.043
0.526,-1.137,-0.038
0.559,-0.997,-0.077
0.568,-0.852,-0.156
0.578,-0.785,-0.23
0.576,-0.666,-0.264
0.555,-0.569,-0.33
0.533,-0.501,-0.386
0.489,-0.484,-0.428
0.451,-0.478,-0.447
0.435,-0.516,-0.481
0.405,-0.541,-0.515
0.378,-0.602,-0.524
0.366,-0.672,-0.52
0.338,-0.71,-0.511
0.315,-0.782,-0.506
0.305,-0.845,-0.494
0.281,-0.874,-0.48
0.25,-0.929,-0.466
0.226,-0.968,-0.438
0.215,-0.979,-0.411
0.2,-1.015,-0.4
0.189,-1.051,-0.384
0.174,-1.066,-0.362
0.177,-1.089,-0.351
0.176,-1.096,-0.335
0.176,-1.098,-0.321
0.175,-1.096,-0.319
0.166,-1.085,-0.303
0.162,-1.053,-0.287
0.144,-1.036,-0.28
0.137,-1,-0.278
0.133,-0.965,-0.274
0.122,-0.949,-0.272
0.133,-0.933,-0.275
0.113,-0.873,-0.273
0.115,-0.886,-0.283
0.16,-0.881,-0.268
0.144,-0.809,-0.278
0.155,-0.777,-0.285
0.171,-0.752,-0.263
0.222,-0.748,-0.234
0.27,-0.713,-0.226
0.287,-0.657,-0.225
0.324,-0.63,-0.216
0.358,-0.561,-0.214
0.369,-0.47,-0.206
0.358,-0.289,-0.2
0.338,-0.305,-0.209
0.325,-0.219,-0.233
0.318,-0.186,-0.264
0.308,-0.14,-0.285
0.305,-0.101,-0.328
0.305,-0.056,-0.373
0.301,-0.032,-0.403
0.299,0.018,-0.41
0.301,0.061,-0.422
0.316,0.082,-0.433
0.338,0.112,-0.448
0.349,0.111,-0.479
0.359,0.11,-0.493
0.363,0.112,-0.503
0.378,0.117,-0.502
0.398,0.136,-0.502
0.408,0.199,-0.522
0.409,0.251,-0.55
0.386,0.376,-0.554
0.364,0.478,-0.54
0.351,0.524,-0.546
0.322,0.608,-0.56
0.3,0.65,-0.598
0.293,0.663,-0.625
0.277,0.665,-0.635
0.267,0.664,-0.643
0.237,0.653,-0.645
0.212,0.625,-0.64
0.207,0.565,-0.632
0.189,0.525,-0.646
0.18,0.43,-0.658
0.176,0.33,-0.669
0.157,0.286,-0.644
0.14,0.225,-0.623
0.13,0.216,-0.576
0.122,0.22,-0.552
0.117,0.251,-0.487
0.122,0.288,-0.418
0.158,0.335,-0.373
0.216,0.484,-0.308
